"idtournament","name","town","long_name","date_start","date_end","tour_count","tour_questions","tour_ques_per_tour","questions_total","type_name","main_payment_value","discounted_payment_value","discounted_payment_reason","date_requests_allowed_to","comment","site_url","main_payment_currency","discounted_payment_currency"
"4456","За Перекрёстком. Осень","","""За Перекрёстком-2017. Осень""","2017-11-17 18:45:00","2017-11-21 18:45:00","3","15","","45","Синхрон","7","","","2017-11-20","","","$",""
"4274","Синхрон Весны в ЛЭТИ","","Синхрон ""Весны в ЛЭТИ""","2017-03-31 19:00:00","2017-04-04 19:00:00","3","13","","39","Синхрон","6","4","для молодежных команд. Для школьных команд - бесплатно.","2017-03-31","","","$","$"
"3646","Корабль Тесея","","Корабль Тесея. Шторм N 4","2016-01-06 18:30:00","2016-01-10 18:29:00","3","15","","45","Синхрон","0","0","","2016-01-09","","","",""
"3491","Студенческая лига Сибири. III тур","","III Студенческая лига Сибири по ""Что? Где? Когда?"" III тур","2015-12-18 09:00:00","2015-12-21 14:00:00","3","12","","36","Синхрон","250","0","","2015-12-18","","http://IQGa.me","руб",""
"3526","Харьковские сессии. Второй семестр","","Международный синхронный турнир ""Харьковские сессии. Второй семестр""","2015-12-11 19:00:00","2015-12-15 19:00:00","3","12","","36","Синхрон","3","5","с взрослых команд. Школьные команды играют бесплатно.","2015-12-11","","","$","$"
"3456","Кубок малых городов","","Кубок малых городов","2015-10-17 10:00:00","2015-10-21 10:00:00","3","12","","36","Синхрон","5","0","","2015-10-17","","http://blik.by/gomel/view/372/","$",""
"3247","Студенческая сибирская Лига. 6 этап","","II Студенческая лига Сибири по ""Что? Где? Когда?"" 6 этап","2015-03-27 14:00:00","2015-03-31 14:00:00","3","12","","36","Синхрон","150","0","","2015-03-26","","http://iqga.me","руб",""
"3185","Студенческая сибирская лига. 4 этап","","II Студенческая лига Сибири по ""Что? Где? Когда?"" IV тур","2015-02-13 14:00:00","2015-02-16 22:00:00","3","12","","36","Синхрон","150","0","","2015-02-12","","http://iqga.me","руб",""
"2854","Выборгская русалочка","Выборг","15-ый открытый юношеский турнир по интеллектуальным играм ""Что? Где? Когда?"" и ""Брейн-ринг"" ""Выборгская русалочка-2013"", памяти Игоря Степановича Мальского","2013-10-06 00:00:00","2013-10-06 00:00:00","3","12","","36","Обычный","300","","","","Организаторы не прислали результаты вовремя","http://kvint.vbg.ru/","руб",""
"3133","Синхрон памяти Сергея Некрасова","","Синхронный турнир, посвященный памяти Сергея Некрасова (16-18 января 2015 г.)","2015-01-16 13:00:00","2015-01-19 23:55:00","3","15","","45","Синхрон","360","0","","2015-01-19","","http://nekrasovfest-09.livejournal.com/","руб",""
"3091","Открытый Чемпионат Архангельска","Архангельск","Открытый Чемпионат Архангельска","2014-11-30 13:00:00","2014-11-30 17:00:00","5","12","","60","Обычный","0","0","","","","","",""
"2953","Апрельские тезисы","","Международный синхронный чемпионат ""Апрельские тезисы - 2015""","2015-04-03 18:00:00","2015-04-07 18:00:00","3","12","","36","Синхрон","360","0","команды БКЗ","2015-04-04","","https://vk.com/club75532039","руб",""
"4063","Кубок Замкадья","Ивантеевка","VII межрегиональный фестиваль интеллектуальных игр «Кубок Замкадья»","2017-06-04 12:45:00","2017-06-04 16:00:00","4","12","","48","Обычный","1500","","","","","http://vk.com/chgk_zamkad","руб",""
"4313","Командум","Владимир","VII Владимирский открытый интеллектуальный турнир «Командум 2017»","2017-05-28 12:00:00","2017-05-28 17:00:00","4","13","","52","Обычный","700","","","","","http://teammetria.ru/comandum-2017-anons/","руб",""
"2208","Открытый чемпионат Архангельска","Архангельск","","2012-11-18 00:00:00","2012-11-18 00:00:00","4","12","","48","Региональный","","","","","","","",""
